DATE,Exchange rate
2017-03-01,3.632
2017-04-01,3.619
2017-05-01,3.561
2017-06-01,3.496
2017-07-01,3.558
2017-08-01,3.596
2017-09-01,3.529
2017-10-01,3.521
2017-11-01,3.499
2017-12-01,3.467
2018-01-01,3.405
2018-02-01,3.485
2018-03-01,3.514
2018-04-01,3.588
2018-05-01,3.588
2018-06-01,3.65
2018-07-01,3.664
2018-08-01,3.604
2018-09-01,3.627
2018-10-01,3.721
2018-11-01,3.701
2018-12-01,3.748
2019-01-01,3.642
2019-02-01,3.604
2019-03-01,3.632
2019-04-01,3.608
2019-05-01,3.634
2019-06-01,3.566
2019-07-01,3.499
2019-08-01,3.535
2019-09-01,3.482
2019-10-01,3.529
2019-11-01,3.476
2019-12-01,3.456
2020-01-01,3.448
2020-02-01,3.467
2020-03-01,3.565
2020-04-01,3.5
2020-05-01,3.502
2020-06-01,3.466
2020-07-01,3.408
2020-08-01,3.362
2020-09-01,3.441
2020-10-01,3.422
2020-11-01,3.308
2020-12-01,3.215
2021-01-01,3.291
2021-02-01,3.28
2021-03-01,3.334
2021-04-01,3.247
2021-05-01,3.253
2021-06-01,3.26
2021-07-01,3.233
2021-08-01,3.207
2021-09-01,3.229
2021-10-01,3.158
2021-11-01,3.162
2021-12-01,3.11
2022-01-01,3.195
2022-02-01,3.238
2022-03-01,3.176
2022-04-01,3.317
2022-05-01,3.338
2022-06-01,3.5
2022-07-01,3.391
2022-08-01,3.341
2022-09-01,3.543
2022-10-01,3.53
2022-11-01,3.441
2022-12-01,3.519
2023-01-01,3.475
